Screen Name;Is_Bot ( 1 for Bot / 0 for Human)
@bekhitmashrenct;1
@akramsulhabhqaq;1
@Ahmed_Rajabi;1
@jS0Wnuh6163gf6Z;0
@9c77HSeQjx1OLDv;1
@baharameeqi;1
@gobranaksammtqy;1
@AhmedShaa3ban;0
@warhanhailyeznc;1
@Aaamz14003;1
@7zCCaVwtxlMxSef;0
@okailgafnhnltjw;1
@sandroses;1
@rajialjenan;0
@taisirsafevtmn;1
@mobarak_elmaghi;1
@amerhakirddiywf;1
@badrantemehtnku;1
@samirdosaryzpvv;1
@abdlrahmanrirsg;1
@WisamAbulhaija;0
@alshameri_qtr;1
@ahmed_elgbaren5;1
@sherifalrebetez;1
@abdelmohsenepvz;1
@LTE_89;1
@salmanattaresjn;1
@albaydaniie4534;1
@elhtlany;1
@mortadashamsljg;1
@rrabdallha454;1
@moslemyamanqhbp;1
@jamelh37930332;0
@ZSRavenson;0
@m7md_abdallha35;1
@7_DAYS_SPORTS;1
@zahersalem98784;1
@fadlhelebyrcjxh;1
@ragaadahhampbxx;1
@mahmoddebeszmxn;1
@PrinceHahim;0
@faiasal933;1
@salimharbi1;1
@khodairsahiavmq;1
@mas3od_el3tebbi;1
@DES___HUSSEIN;1
@m_abutirah;0
@ka3am_al3ayel;0
@gobranakhdahaje;1
@MuslMuslimharbi;1
@ebademagedybsqy;1
@alkawyakab342;1
@saud_1316;1
@mlihann2014;1
@alshhraniie0222;1
@archart1987;0
@dammam_news;0
@suleima66_elmal;1
@mmnn5550;1
@mekhlefsahlkbso;1
@borhanshararnuu;1
@sallamanwarxfwr;1
@helalaksamtfbe;1
@SefffRasheddd;1
@AldulaimyTravel;0
@ujEZDJVWoWRk4wr;1
@yazidathathqeqq;1
@eyadkumekhqjsap;1
@adelharbi;1
@banadaraltawyar;1
@nagibmeshetaarg;1
@amin_aboharb;0
@toradhadramdepy;1
@AlgrrahSaud;1
@gameede_salim;1
@ElqoranyMossa;1
@yazidmarmyesgtd;1
@kenanbakarixluo;1
@BnredaMrad;1
@alial_zahrani;1
@XyfHFBFnLiYOnE2;0
@aealmansory;1
@L4R0N2hCgzmNV04;0
@alyhazalutdr;1
@sallomtolihjfnk;1
@gharameladwanie;1
@shoaibbarakxgkl;1
@living_maha;0
@fayyadgoghibpig;1
@KlumMohaed;1
@omar_elghanm;1
@a_majeedmousa;0
@galalreyadirxxu;1
@zakimebtibtfz;1
@hanyrashedydckz;1
@ameraa_el2orani;1
@bnnaseer_mousta;1
@shref_abdelziz4;1
@ahmedararkemw;1
@abdallahbelaxpr;1
@ebadifaflyvhhpf;1
@tamersawwateghi;1
@awadtamimkoyl;1
@wagdan_qmerii45;1
@Faisal_Aljehani;0
@moaazheqelhfruw;1
@asayaretaraeek7;1
@abdelwahabffxbt;1
@gobranmosabfphv;1
@abojabaeer;1
@JrtvMedia;0
@YemaniNet;0
@abedallla76;1
@barakatgammopqw;1
@HAConsultancies;0
@heshameseimkoti;1
@saudichinagate;0
@ramihakirslep;1
@AldriebDaoud;1
@khaledalrshod;1
@SolahYahya;0
@ttmm1224;0
@eliasthebetmcyo;1
@yajaberalagafi2;1
@buotaibi2;0
@RDADT;1
@salman24901819;1
@zaidbenmesafwsu;1
@taisirgaberyjpp;1
@FA21HD;0
@drWbaghdadi;0
@khalilbelelyhuo;1
@salehanzey;1
@fahidalkhaliff1;1
@SalmanKhald;1
@alrshed;0
@holi_ksa;0
@druzeasalba;1
@zaherghannaxutp;1
@sabah_alhaidoos;1
@ayyobdabanvehx;1
@mohannaderiihxq;1
@turkisaud123;0
@Kyokusen_SA;0
@hasinagmanzvhr;1
@anaseid4;1
@ahmedbnhadiazbq;1
@sotofmaterihkdp;1
@ragehmetewicsxe;1
@mansouraharoun;0
@hassanbenesdqzm;1
@F1yexFgdh8zeE95;1
@malekmeshetpufx;1
@nagibkhathlsiac;1
@mozkeralzarsjxa;1
@Bakri87Mazen;1
@edrisbeharimlfm;1
@hussinhamzh7;1
@sawaylaam_esaam;1
@ebrahimattadmbr;1
@nawa777alatayab;1
@moawyahmoflgkju;1
@moazalahmadguqu;1
@bnmobaraaak_elk;1
@betalmertaafssj;1
@gasembensouqhee;1
@aliasiri01;1
@Alsarab_2018;0
@naderkerezihexe;1
@Seia73odah;1
@gobranzaydehmzz;1
@Akram0799071711;1
@manasaat;0
@3alm_wrod;1
@masoudmohgesymg;1
@arwa_elmansor45;1
@ALAHLISPORTS;0
@Wailamoudi;0
@gjb2666;1
@IsmailOmiera;1
@Hlal_1957M;0
@khalifahsoudryu;1
@walidgabalirrww;1
@khaledsaud10;1
@makabawal_saleh;1
@FAlwazae;0
@abdelmged4_m7md;1
@zaherabogawbfoo;1
@ibrahimgefajbcv;1
@beshirmakkiwono;1
@kenangahfalfujm;1
@soudabdallaoogt;1
@HalaTa10;0
@BnZaid15;1
@naderkhalfihell;1
@amrealgomaaukle;1
@AshtyMamade;1
@50o55;0
@heba_elsakran43;1
@moroeysederqaea;1
@mahmodmoteabswr;1
@obaidehaidan;1
@althanya_nuws;0
@mostafakalbmtmh;1
@alya2a01;1
@ra966ar;0
@basemounixmyt;1
@el3wery;1
@Vetogate;0
@MohdTaqi11;1
@nmohameed44_bad;1
@nezalferehtxqjn;1
@m7md_salem34;1
@abdelgawwadqzyv;1
@fayedkahtihwpy;1
@earlle112;0
@4m2qwQb82EO3sag;0
@al3amer33;1
@ahmedjuhani3;1
@3mro_6_6_1434_;1
@suleman_elrameh;1
@shaqsi_zaher88;0
@salamahabdluxqt;1
@smclinic1;1
@radighazawacpon;1
@selimreyadiwklj;1
@banderzaianrljd;1
@SattamAlaskar;1
@SMSH2012;1
@rem_el3anzi;1
@toradgoghimyntz;1
@mohammedalmokh6;1
@Bilalalsaliem2;1
@owaiedutairi1;1
@ghannam2015;1
@yaslamwakedkotb;1
@aidrowihympoidi;1
@barakatsolifbde;1
@abedalla47_5awa;1
@zaltek_1996;0
@hasinyamaniywch;1
@MusseuiMus;1
@hicham_1978;1
@yosefbenianmmrm;1
@metrefmeadgdom;1
@MOHAMMED_HEZAM;1
@SarahMAlgethami;0
@mahammedrafpaww;1
@yaaseryaaser;1
@Q_ATAR;0
@311001332;0
@nada_agma56;1
@algohanii44;1
@RedaElbtta7;1
@nagibatifetdk;1
@MhmdddDdrzee;1
@AjmiuHussein;1
@cocopilot310;0
@alitowaleyzahgg;1
@elkahatany55;1
@moradathathzbdc;1
@Adeljasiem;1
@IslamistBH;0
@elomare88waliii;1
@Mobtada;0
@badeaghalebdtzb;1
@walidmeadckuweg;1
@SalmEl7rdany;1
@al33azamii_gawy;1
@HassanAtran;1
@naderkattanabnu;1
@fehedsedeqdhyp;1
@absolutealthby1;1
@almowatennet;0
@huda_al_sheikh;0
@abdulazizaloha2;1
@sameeerralayawe;1
@L3nzi91;0
@alshnewscom;0
@moslembenazqukg;1
@aam_alghmadi;0
@Da5elEl3amody;1
@ebrahimargakmlz;1
@Al_sharif__;0
@amerasiriamera4;1
@atta_Dr_othman;1
@yahya_alsawan;1
@mahmodsareavqva;1
@el3uosai44;1
@ebr_ebr;1
@ksa_wats;0
@rakanmelhemgnmh;1
@nafeathanyatcnd;1
@saeghselelyuglx;1
@alsaba7aii55;1
@Reeem_roro1;1
@sahemerani;1
@toradbekhetqbuo;1
@ebadiwaselljbv;1
@_as_alharbi;1
@alikhariri;1
@Sav_2030;0
@NAJEEBALYAFEE;0
@ahmedmertaaufnl;1
@haraessh_moham1;1
@mohibfawzanypuo;1
@elahmadee_441;1
@gasemfaflytsxlx;1
@abdlerahmanumzg;1
@amerthanyanddfl;1
@hazembenmesdsvp;1
@aminataifahvwte;1
@el7atm;1
@abdelrhman_els4;1
@abdelgabbarnqdt;1
@AliZmanan9652;1
@Sami_Nahri;1
@kahtanerianoiti;1
@defallahazzfjrg;1
@muneira_elwtedd;1
@Thamerbinrakkan;1
@3bbasM7med;1
@jo24com;0
@FatimaAlqahtan9;1
@badrnagafipuvx;1
@soleiamenemsuie;1
@emadal_osaimi;1
@oreed64;0
@Omanobs;1
@bnallie_saud;1
@ateyyabenhatomp;1
@Y7_TEAM;0
@raaeed3323;1
@reemalrowahig;0
@feras_alawi;1
@elgaras44;1
@medanisulhazjyq;1
@al7arase33;1
@Mn3mElb3igan;1
@alidromikuxs;1
@mortadaswigrftl;1
@5hw;0
@arefwaselokhsgx;1
@dahommalkigirwz;1
@7amaadGabr;1
@hadihelebyyomu;1
@basemdafryrcenv;1
@galalbenhadddmi;1
@AL_eshlahnet;0
@abdelmegidetbti;1
@soltandabanesac;1
@EMARATNEWS1;0
@alaean2;0
@_nonee212;1
@AlgraahSaleh;1
@JkkmalllYousef;1
@othmantemehvgwe;1
@ishaqf12;0
@mohammedatiwiky;1
@alirowihyrajioq;1
@heshamowaisybik;1
@News_Madinah;0
@elmotery_nafe3;1
@alolyfareawtodj;1
@asma_moqbel35;1
@fouadmesferyvyp;1
@badnas1985;0
@AliMumtaz_;0
@AbassBrahemmmdd;1
@amal_abdelrsoll;1
@sattam_al_saud;1
@yousefalenezi19;1
@atefmqd;0
@asisaeiwwfakgtp;1
@gazifadelcbmu;1
@sahlfetenivsorl;1
@fawazenaiman;1
@twasulnews;0
@awaw1234554321;0
@AyaatHolyQuran;1
@SOshi232;1
@romehsafwanzwzx;1
@abdulmohsen5;1
@7_medicalcenter;0
@aliejeberi;1
@tiger1515151515;0
@abdelazizmasxsi;1
@yamarwanaladmao;1
@nabilmoatypsgo;1
@borhanahedauoip;1
@saeabetsubie;1
@mohannadwasprhw;1
@naderabdelwwfun;1
@suwaiidalmutai6;1
@solimantowaxkgc;1
@AlaliwiA;1
@moradbaaloleepn;1
@urdudjdjjxxjd1;1
@mahdisaramiowbf;1
@ahmedmohgembsgz;1
@nabilharthywdtn;1
@abdelelahatnsjh;1
@rabeahuseinobrv;1
@AlgrdanEid;1
@alkabere_jh;1
@yaserzayyatbghu;1
@magedbaharicqiq;1
@khalafsharasmyi;1
@DerwazaMedia;1
@abdelbarimedthp;1
@haiderabogawxjs;1
@mesoojedawi;1
@aliprint2013;1
@alikayedalenzi;0
@KhaldRashhed;1
@fayezbaqerycfj;1
@alwalidsherfijj;1
@3IQikLqjzuhgaqQ;0
@metrefbeshrfxmy;1
@yazidziwanipwsb;1
@beshirbentaznrc;1
@Qwer39302630;1
@osamahqadizltb;1
@mansour_albatti;0
@ragaaargawiguuc;1
@amro_naser45;1
@easaetebiiaksmx;1
@hms1919;0
@modhykhaldiappc;1
@nazemsahianlyjc;1
@badrmasharyppns;1
@marwanbasehfdgy;1
@elkahtan44;1
@adnankereziuxxl;1
@solimanabdekbih;1
@naderslemidumq;1
@rahma_elyami365;1
@saidbarhomikyfi;1
@AnwaarMossa;1
@naif_alali;0
@fayedeseryaspr;1
@MubarakbornMub;1
@SSLSIP;0
@ragaaghamedsmko;1
@DR___ROSE;0
@mr_classic20;0
@abdallhael5abaz;1
@maha313leon;0
@AbidTv;1
@ThamerSchools;0
@nora_atiha345;1
@aboubaidahahcxv;1
@0yvm00xNHTKtRq9;0
@ramzyyafeaytrjw;1
@mohamed_mdn;1
@amerdakhelpoqvc;1
@adnanfi;0
@1861___o8;1
@ahmedaldeall;1
@faridkhayyanxzn;1
@mohamedelalaya1;1
@nabilfawzandfqq;1
@AlamthalFinance;0
@mahmodmowaljzpc;1
@Joseph_Moud;0
@moufidaalfaycal;0
@AlghanemEida;1
@sultanalzabni;0
@gamanmeakalsjun;1
@alrawayalii555;1
@ayedabdelghcywm;1
@ekablameaqdlgwu;1
@MekshatWorld;0
@amer_saliem;1
@moooahaalaklabi;1
@wanismohaleewuc;1
@marwansheriemgq;1
@awwadbenradnixd;1
@iuhaimi;1
@mobarakatodycrt;1
@mossaedejehe;1
@abdulrahimpast1;1
@abdelwahabnsnir;1
@fala7_eldrghmii;1
@HhmmzaaaMhmdd;1
@zaferedianyvumv;1
@AJArabic;0
@abbasamodijvrb;1
@karimmaterieode;1
@abedlara77em_go;1
@kwkw707;1
@abdelmegidglofh;1
@om_meshaal30;0
@alwalidkhalyogr;1
@fawazsaud2;1
@nagianziepap;1
@ibrahimgobamgxa;1
@abdallahbesdtmy;1
@arrowoffreedom3;0
@salehquriah;0
@chaykh_rohani1;0
@abdelazizezetrt;1
@wesamzahrawagmv;1
@tahersharahesch;1
@zaherrashedsvvc;1
@xoxv_1;1
@gebrelokariizcz;1
@Riyad4052;1
@b_88bb;0
@NorsForStudies;0
@zayedhendisixql;1
@3daawy;1
@abdellatifoijgp;1
@khalifaharkgqan;1
@radwanammarwxzc;1
@abdallahqadkhyh;1
@comelite_arch;1
@abedalla_alamre;1
@ahmedorefycnukz;1
@nagimoflehpyves;1
@yousef_alateeg;1
@AdexGroups;1
@basemalesiryzro;1
@neenoo2218;0
@fayezkumekhwxqq;1
@abdelmohsencyzj;1
@amrezafranijvsw;1
@h123hagab;1
@7amza_naser349;1
@kamalhagourlrjj;1
@aldelag;1
@yossef_ali9934;1
@hadialveniceha1;1
@wafikhaddamtqxu;1
@MmaherrrZzebnnn;1
@sherifhemalpxeq;1
@Gharipshamry;1
@lamia_elhassan4;1
@abo_elias_80;1
@mahmodmedeamxfb;1
@anturargawiooyy;1
@HizamAlshawih;1
@c_urself;0
@oseamareish;1
@AlsirElgasaus;1
@basherel3bedii3;1
@ali_suleman34;1
@alzahranii33;1
@3Pss8LCmtU9As4w;1
@abdallahwarkrtg;1
@omargahfaliyjkh;1
@ebrahimslemoxlj;1
@Farhanalfadli;1
@hazemmebtijbewj;1
@El3amrHema;1
@clear_nectar;0
@badranbenhaswzo;1
@gaziabdlrahjzub;1
@saed8844_khalef;1
@sororhaidanbuju;1
@adihamishanwgdz;1
@abdelaziz_3ateq;1
@galalalmoryddpa;1
@n14hsc4Cazp3sF2;1
@mohannadalamquf;1
@ebadeshallaejtd;1
@MohmmedALahmari;1
@eldossse22;1
@abdelrazzakpapy;1
@eman_elsa3ed55;1
@alinayefbsan;1
@Sharqiya_Voice;0
@abdlerahmanctqe;1
@mekheldahhaazzd;1
@abdelazizmegqej;1
@hasindabandzpfa;1
@aazebzahraney;1
@omar135278251;0
@health_1978;0
@gazimorbaqukocj;1
@taisirmehzaradb;1
@hassanelsulia;1
@libyanoilsector;1
@KSA24;0
@ahmadslemuhmqtj;1
@slaati;0
@amoryalyahigzvb;1
@HarbiMuietab;0
@rashedshamlemqq;1
@AlkhaleejOnline;0
